dept_name,gender,from_date,to_date,calendar_year,active_year
Marketing,M,1995-12-30,1998-12-29,1990,0
Marketing,M,1995-12-30,1998-12-29,1991,0
Marketing,M,1995-12-30,1998-12-29,1992,0
Marketing,M,1995-12-30,1998-12-29,1993,0
Marketing,M,1995-12-30,1998-12-29,1994,0
Marketing,M,1995-12-30,1998-12-29,1995,1
Marketing,M,1995-12-30,1998-12-29,1996,1
Marketing,M,1995-12-30,1998-12-29,1997,1
Marketing,M,1995-12-30,1998-12-29,1998,1
Marketing,M,1995-12-30,1998-12-29,1999,0
Marketing,M,1995-12-30,1998-12-29,2000,0
Marketing,M,1995-12-30,1998-12-29,2022,0
Marketing,M,1997-04-09,9999-01-01,1990,0
Marketing,M,1997-04-09,9999-01-01,1991,0
Marketing,M,1997-04-09,9999-01-01,1992,0
Marketing,M,1997-04-09,9999-01-01,1993,0
Marketing,M,1997-04-09,9999-01-01,1994,0
Marketing,M,1997-04-09,9999-01-01,1995,0
Marketing,M,1997-04-09,9999-01-01,1996,0
Marketing,M,1997-04-09,9999-01-01,1997,1
Marketing,M,1997-04-09,9999-01-01,1998,1
Marketing,M,1997-04-09,9999-01-01,1999,1
Marketing,M,1997-04-09,9999-01-01,2000,1
Marketing,M,1997-04-09,9999-01-01,2022,1
Marketing,M,1991-12-31,1997-12-29,1990,0
Marketing,M,1991-12-31,1997-12-29,1991,1
Marketing,M,1991-12-31,1997-12-29,1992,1
Marketing,M,1991-12-31,1997-12-29,1993,1
Marketing,M,1991-12-31,1997-12-29,1994,1
Marketing,M,1991-12-31,1997-12-29,1995,1
Marketing,M,1991-12-31,1997-12-29,1996,1
Marketing,M,1991-12-31,1997-12-29,1997,1
Marketing,M,1991-12-31,1997-12-29,1998,0
Marketing,M,1991-12-31,1997-12-29,1999,0
Marketing,M,1991-12-31,1997-12-29,2000,0
Marketing,M,1991-12-31,1997-12-29,2022,0
Marketing,F,1993-08-02,1998-08-01,1990,0
Marketing,F,1993-08-02,1998-08-01,1991,0
Marketing,F,1993-08-02,1998-08-01,1992,0
Marketing,F,1993-08-02,1998-08-01,1993,1
Marketing,F,1993-08-02,1998-08-01,1994,1
Marketing,F,1993-08-02,1998-08-01,1995,1
Marketing,F,1993-08-02,1998-08-01,1996,1
Marketing,F,1993-08-02,1998-08-01,1997,1
Marketing,F,1993-08-02,1998-08-01,1998,1
Marketing,F,1993-08-02,1998-08-01,1999,0
Marketing,F,1993-08-02,1998-08-01,2000,0
Marketing,F,1993-08-02,1998-08-01,2022,0
Marketing,M,1993-12-30,2000-12-28,1990,0
Marketing,M,1993-12-30,2000-12-28,1991,0
Marketing,M,1993-12-30,2000-12-28,1992,0
Marketing,M,1993-12-30,2000-12-28,1993,1
Marketing,M,1993-12-30,2000-12-28,1994,1
Marketing,M,1993-12-30,2000-12-28,1995,1
Marketing,M,1993-12-30,2000-12-28,1996,1
Marketing,M,1993-12-30,2000-12-28,1997,1
Marketing,M,1993-12-30,2000-12-28,1998,1
Marketing,M,1993-12-30,2000-12-28,1999,1
Marketing,M,1993-12-30,2000-12-28,2000,1
Marketing,M,1993-12-30,2000-12-28,2022,0
Marketing,F,1992-11-20,1997-11-19,1990,0
Marketing,F,1992-11-20,1997-11-19,1991,0
Marketing,F,1992-11-20,1997-11-19,1992,1
Marketing,F,1992-11-20,1997-11-19,1993,1
Marketing,F,1992-11-20,1997-11-19,1994,1
Marketing,F,1992-11-20,1997-11-19,1995,1
Marketing,F,1992-11-20,1997-11-19,1996,1
Marketing,F,1992-11-20,1997-11-19,1997,1
Marketing,F,1992-11-20,1997-11-19,1998,0
Marketing,F,1992-11-20,1997-11-19,1999,0
Marketing,F,1992-11-20,1997-11-19,2000,0
Marketing,F,1992-11-20,1997-11-19,2022,0
Marketing,F,1995-10-13,2000-10-11,1990,0
Marketing,F,1995-10-13,2000-10-11,1991,0
Marketing,F,1995-10-13,2000-10-11,1992,0
Marketing,F,1995-10-13,2000-10-11,1993,0
Marketing,F,1995-10-13,2000-10-11,1994,0
Marketing,F,1995-10-13,2000-10-11,1995,1
Marketing,F,1995-10-13,2000-10-11,1996,1
Marketing,F,1995-10-13,2000-10-11,1997,1
Marketing,F,1995-10-13,2000-10-11,1998,1
Marketing,F,1995-10-13,2000-10-11,1999,1
Marketing,F,1995-10-13,2000-10-11,2000,1
Marketing,F,1995-10-13,2000-10-11,2022,0
Marketing,M,1995-02-04,9999-01-01,1990,0
Marketing,M,1995-02-04,9999-01-01,1991,0
Marketing,M,1995-02-04,9999-01-01,1992,0
Marketing,M,1995-02-04,9999-01-01,1993,0
Marketing,M,1995-02-04,9999-01-01,1994,0
Marketing,M,1995-02-04,9999-01-01,1995,1
Marketing,M,1995-02-04,9999-01-01,1996,1
Marketing,M,1995-02-04,9999-01-01,1997,1
Marketing,M,1995-02-04,9999-01-01,1998,1
Marketing,M,1995-02-04,9999-01-01,1999,1
Marketing,M,1995-02-04,9999-01-01,2000,1
Marketing,M,1995-02-04,9999-01-01,2022,1
Marketing,F,1996-12-29,2002-12-28,1990,0
Marketing,F,1996-12-29,2002-12-28,1991,0
Marketing,F,1996-12-29,2002-12-28,1992,0
Marketing,F,1996-12-29,2002-12-28,1993,0
Marketing,F,1996-12-29,2002-12-28,1994,0
Marketing,F,1996-12-29,2002-12-28,1995,0
Marketing,F,1996-12-29,2002-12-28,1996,1
Marketing,F,1996-12-29,2002-12-28,1997,1
Marketing,F,1996-12-29,2002-12-28,1998,1
Marketing,F,1996-12-29,2002-12-28,1999,1
Marketing,F,1996-12-29,2002-12-28,2000,1
Marketing,F,1996-12-29,2002-12-28,2022,0
Marketing,F,1993-01-06,1999-01-05,1990,0
Marketing,F,1993-01-06,1999-01-05,1991,0
Marketing,F,1993-01-06,1999-01-05,1992,0
Marketing,F,1993-01-06,1999-01-05,1993,1
Marketing,F,1993-01-06,1999-01-05,1994,1
Marketing,F,1993-01-06,1999-01-05,1995,1
Marketing,F,1993-01-06,1999-01-05,1996,1
Marketing,F,1993-01-06,1999-01-05,1997,1
Marketing,F,1993-01-06,1999-01-05,1998,1
Marketing,F,1993-01-06,1999-01-05,1999,1
Marketing,F,1993-01-06,1999-01-05,2000,0
Marketing,F,1993-01-06,1999-01-05,2022,0
Marketing,M,1994-08-10,1999-08-09,1990,0
Marketing,M,1994-08-10,1999-08-09,1991,0
Marketing,M,1994-08-10,1999-08-09,1992,0
Marketing,M,1994-08-10,1999-08-09,1993,0
Marketing,M,1994-08-10,1999-08-09,1994,1
Marketing,M,1994-08-10,1999-08-09,1995,1
Marketing,M,1994-08-10,1999-08-09,1996,1
Marketing,M,1994-08-10,1999-08-09,1997,1
Marketing,M,1994-08-10,1999-08-09,1998,1
Marketing,M,1994-08-10,1999-08-09,1999,1
Marketing,M,1994-08-10,1999-08-09,2000,0
Marketing,M,1994-08-10,1999-08-09,2022,0
Marketing,M,1991-06-09,1999-06-07,1990,0
Marketing,M,1991-06-09,1999-06-07,1991,1
Marketing,M,1991-06-09,1999-06-07,1992,1
Marketing,M,1991-06-09,1999-06-07,1993,1
Marketing,M,1991-06-09,1999-06-07,1994,1
Marketing,M,1991-06-09,1999-06-07,1995,1
Marketing,M,1991-06-09,1999-06-07,1996,1
Marketing,M,1991-06-09,1999-06-07,1997,1
Marketing,M,1991-06-09,1999-06-07,1998,1
Marketing,M,1991-06-09,1999-06-07,1999,1
Marketing,M,1991-06-09,1999-06-07,2000,0
Marketing,M,1991-06-09,1999-06-07,2022,0
Marketing,F,1998-05-29,2000-05-27,1990,0
Marketing,F,1998-05-29,2000-05-27,1991,0
Marketing,F,1998-05-29,2000-05-27,1992,0
Marketing,F,1998-05-29,2000-05-27,1993,0
Marketing,F,1998-05-29,2000-05-27,1994,0
Marketing,F,1998-05-29,2000-05-27,1995,0
Marketing,F,1998-05-29,2000-05-27,1996,0
Marketing,F,1998-05-29,2000-05-27,1997,0
Marketing,F,1998-05-29,2000-05-27,1998,1
Marketing,F,1998-05-29,2000-05-27,1999,1
Marketing,F,1998-05-29,2000-05-27,2000,1
Marketing,F,1998-05-29,2000-05-27,2022,0
Marketing,M,1999-05-29,2000-05-27,1990,0
Marketing,M,1999-05-29,2000-05-27,1991,0
Marketing,M,1999-05-29,2000-05-27,1992,0
Marketing,M,1999-05-29,2000-05-27,1993,0
Marketing,M,1999-05-29,2000-05-27,1994,0
Marketing,M,1999-05-29,2000-05-27,1995,0
Marketing,M,1999-05-29,2000-05-27,1996,0
Marketing,M,1999-05-29,2000-05-27,1997,0
Marketing,M,1999-05-29,2000-05-27,1998,0
Marketing,M,1999-05-29,2000-05-27,1999,1
Marketing,M,1999-05-29,2000-05-27,2000,1
Marketing,M,1999-05-29,2000-05-27,2022,0
Finance,M,1991-12-31,1998-12-29,1990,0
Finance,M,1991-12-31,1998-12-29,1991,1
Finance,M,1991-12-31,1998-12-29,1992,1
Finance,M,1991-12-31,1998-12-29,1993,1
Finance,M,1991-12-31,1998-12-29,1994,1
Finance,M,1991-12-31,1998-12-29,1995,1
Finance,M,1991-12-31,1998-12-29,1996,1
Finance,M,1991-12-31,1998-12-29,1997,1
Finance,M,1991-12-31,1998-12-29,1998,1
Finance,M,1991-12-31,1998-12-29,1999,0
Finance,M,1991-12-31,1998-12-29,2000,0
Finance,M,1991-12-31,1998-12-29,2022,0
Finance,F,1991-01-13,9999-01-01,1990,0
Finance,F,1991-01-13,9999-01-01,1991,1
Finance,F,1991-01-13,9999-01-01,1992,1
Finance,F,1991-01-13,9999-01-01,1993,1
Finance,F,1991-01-13,9999-01-01,1994,1
Finance,F,1991-01-13,9999-01-01,1995,1
Finance,F,1991-01-13,9999-01-01,1996,1
Finance,F,1991-01-13,9999-01-01,1997,1
Finance,F,1991-01-13,9999-01-01,1998,1
Finance,F,1991-01-13,9999-01-01,1999,1
