gender,dept_name,salary,calendar_year
M,Marketing,58895.8462,1990
M,Marketing,59232.7535,1991
M,Marketing,59743.0847,1992
M,Marketing,60436.8525,1993
M,Marketing,64547.5468,1994
M,Marketing,65377.0537,1995
M,Marketing,66467.5586,1996
M,Marketing,67253.1771,1997
M,Marketing,66332.5082,1998
M,Marketing,67594.5811,1999
M,Marketing,73248.0065,2000
M,Marketing,75364.2615,2001
M,Marketing,77525.2412,2002
F,Marketing,57358.3083,1990
F,Marketing,57670.2041,1991
F,Marketing,59755.1950,1992
F,Marketing,60879.2547,1993
F,Marketing,61673.0530,1994
F,Marketing,63080.1364,1995
F,Marketing,63678.9423,1996
F,Marketing,64402.3330,1997
F,Marketing,65582.0952,1998
F,Marketing,66361.3048,1999
F,Marketing,68347.7955,2000
F,Marketing,70363.7972,2001
F,Marketing,71984.0382,2002
M,Finance,57643.5595,1990
M,Finance,56426.5315,1991
M,Finance,58294.6187,1992
M,Finance,59036.8655,1993
M,Finance,62926.0585,1994
M,Finance,64161.4663,1995
M,Finance,65447.5941,1996
M,Finance,66108.2914,1997
M,Finance,65170.7326,1998
M,Finance,66548.0372,1999
M,Finance,72095.6650,2000
M,Finance,74134.4359,2001
M,Finance,76027.3803,2002
F,Finance,56502.1765,1990
F,Finance,58490.7277,1991
F,Finance,58536.5751,1992
F,Finance,59552.5383,1993
F,Finance,60829.0217,1994
F,Finance,61103.0477,1995
F,Finance,62151.4587,1996
F,Finance,62924.7421,1997
F,Finance,64103.3094,1998
F,Finance,65253.6317,1999
F,Finance,67159.9726,2000
F,Finance,69267.8653,2001
F,Finance,70989.3618,2002
M,"Human Resources",40998.2288,1990
M,"Human Resources",42164.2778,1991
M,"Human Resources",43316.8545,1992
M,"Human Resources",44419.2066,1993
M,"Human Resources",48020.0649,1994
M,"Human Resources",49161.3921,1995
M,"Human Resources",50041.4238,1996
M,"Human Resources",51046.9743,1997
M,"Human Resources",50250.5977,1998
M,"Human Resources",51602.0952,1999
M,"Human Resources",57180.7876,2000
M,"Human Resources",59150.8579,2001
M,"Human Resources",61449.2392,2002
F,"Human Resources",40972.9903,1990
F,"Human Resources",42486.1709,1991
F,"Human Resources",43814.2933,1992
F,"Human Resources",45188.9754,1993
F,"Human Resources",46372.7866,1994
F,"Human Resources",47084.6579,1995
F,"Human Resources",47813.7840,1996
F,"Human Resources",48764.4462,1997
F,"Human Resources",49703.5831,1998
F,"Human Resources",50823.2588,1999
F,"Human Resources",52911.5497,2000
F,"Human Resources",54962.1792,2001
F,"Human Resources",56501.5581,2002
M,Production,45269.0548,1990
M,Production,46446.6429,1991
M,Production,47582.7565,1992
M,Production,48724.6092,1993
M,Production,52590.5524,1994
M,Production,53527.2593,1995
M,Production,54461.4590,1996
M,Production,55491.8124,1997
M,Production,54637.8072,1998
M,Production,55989.6884,1999
M,Production,61605.9312,2000
M,Production,63642.9444,2001
M,Production,65608.6736,2002
F,Production,45138.1603,1990
F,Production,46309.1876,1991
F,Production,47214.6881,1992
F,Production,48482.0579,1993
F,Production,49349.2124,1994
F,Production,50276.0510,1995
F,Production,51357.6467,1996
F,Production,52261.6771,1997
